Year,Length,Stages,Speed
1950,4773,22,32.78
1951,4690,24,32.95
1952,4898,23,32.23
1953,4476,22,34.59
1954,4656,23,33.23
1955,4495,22,35.45
1956,4498,22,36.37
1957,4665,22,34.25
1958,4319,24,36.92
1959,4391,22,35.47
1960,4173,22,37.21
1961,4397,21,36.03
1962,4274,22,37.31
1963,4137,21,37.09
1964,4504,22,35.42
1965,4177,22,35.89
1966,4322,22,36.76
1967,4758,22,34.76
1968,4492,22,33.56
1969,4117,22,35.41
1970,4254,23,35.56
1971,3608,23,38.08
1972,3846,20,35.51
1973,4090,20,33.41
1974,4098,22,35.24
1975,3999,22,34.91
1976,4016,22,34.52
1977,4092,22,35.42
1978,3914,22,36.08
1979,3720,24,36.51
1980,3946,22,35.14
1981,3757,24,38.96
1982,3512,21,38.06
1983,3962,22,36.23
1984,4021,23,35.88
1985,4127,22,36.23
1986,4083,23,37.02
1987,4231,25,36.65
1988,3286,22,38.91
1989,3285,21,37.49
1990,3504,21,38.62
1991,3914,22,38.75
1992,3983,21,39.5
1993,3714,20,38.71
1994,3978,21,38.38
1995,3653,20,39.19
1996,3907,21,39.23
1997,3950,21,39.24
1998,3875,21,39.99
1999,3686,20,40.28
2000,3875,21,39.57
2001,3446,20,40.07
2002,3282,20,39.92
2003,3427,20,40.94
2004,3391,20,40.55
2005,3608,21,41.65
2006,3657,20,40.78
2007,3547,20,39.22
2008,3559,21,40.49
2009,3459,21,40.31
2010,3641,20,39.59
2011,3430,21,39.78
2012,3488,20,39.88
2013,3403,21,40.55
2014,3660,21,40.69
2015,3360,21,39.64
